"id","property class","acreage", "value", "orig val data"
389.-3-23 ,314 Rural vac<10,5.20,"30,000","FULL MARKET VALUE 30,000\r"
389.-3-24 ,null,5.60,"41,000","FULL MARKET VALUE 41,000\r"
390.-1-2 ,null,253.15,"230,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 230,000\r"
390.-1-3 ,null,61.00,"80,000","FULL MARKET VALUE 80,000\r"
390.-1-4 ,null,14.90,"20,000","FULL MARKET VALUE 20,000\r"
390.-1-5 ,null,14.89,"31,000","FULL MARKET VALUE 31,000\r"
390.-1-7 ,null,401.70,"630,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 630,000\r"
390.-1-9 ,null,267.52,"460,000","FULL MARKET VALUE 460,000\r"
390.-1-10 ,null,18.87,"45,000","FULL MARKET VALUE 45,000\r"
390.-1-11 ,null,6.70,"550,000","FULL MARKET VALUE 550,000\r"
390.-1-12 ,null,3.60,"77,000","FULL MARKET VALUE 77,000\r"
390.-1-13.1 ,null,1.20,"45,000","FULL MARKET VALUE 45,000\r"
390.-1-13.2 ,314 Rural vac<10,1.20,"10,000","Brannen Rebecca FULL MARKET VALUE 10,000\r"
390.-1-14 ,210 1 Family Res,6.50,"275,000","FULL MARKET VALUE 275,000 FD113 E.branch fd 27,500 TO\r"
390.-1-15 ,null,19.00,"675,000","FULL MARKET VALUE 675,000\r"
390.-1-16 ,210 1 Family Res,4.75,"147,000","FULL MARKET VALUE 147,000\r"
390.-1-17 ,260 Seasonal res - WTRFNT,0.50,"40,000","FULL MARKET VALUE 40,000\r"
390.-1-18 ,210 1 Family Res - WTRFNT,1.00,"145,000","FULL MARKET VALUE 145,000\r"
390.-1-19.11 ,null,32.01,"110,000","FULL MARKET VALUE 110,000\r"
390.-1-19.12 ,210 1 Family Res - WTRFNT,8.45,"500,000","FULL MARKET VALUE 500,000\r"
390.-1-19.2 ,210 1 Family Res,2.10,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-20 ,210 1 Family Res,2.25,"210,000","FULL MARKET VALUE 210,000\r"
390.-1-21 ,210 1 Family Res,1.70,"156,000","FULL MARKET VALUE 156,000\r"
390.-1-22 ,210 1 Family Res,1.25,"121,790","FULL MARKET VALUE 121,790\r"
390.-1-23 ,314 Rural vac<10,1.00,"15,000","FULL MARKET VALUE 15,000\r"
390.-1-24.1 ,210 1 Family Res - WTRFNT,6.30,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-24.2 ,null,6.30,"60,000","FULL MARKET VALUE 60,000\r"
390.-1-25 ,260 Seasonal res - WTRFNT,1.70,"65,000","FULL MARKET VALUE 65,000\r"
390.-1-27.11 ,210 1 Family Res - WTRFNT,5.04,"250,000","FULL MARKET VALUE 250,000\r"
390.-1-27.121 ,210 1 Family Res - WTRFNT,1.40,"95,000","FULL MARKET VALUE 95,000\r"
390.-1-27.122 ,210 1 Family Res - WTRFNT,1.37,"155,000","FULL MARKET VALUE 155,000\r"
390.-1-27.13 ,null,10.08,"25,000","FULL MARKET VALUE 25,000\r"
390.-1-27.141 ,null,20.00,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-27.142 ,null,86.40,"130,000","FULL MARKET VALUE 130,000\r"
390.-1-27.2 ,210 1 Family Res,0.25,"75,900","FULL MARKET VALUE 75,900\r"
390.-1-27.3 ,314 Rural vac<10,null,"20,000","FULL MARKET VALUE 20,000\r"
390.-1-28 ,210 1 Family Res,null,"90,000","FULL MARKET VALUE 90,000\r"
390.-1-29 ,314 Rural vac<10,0.06,"10,000","FULL MARKET VALUE 10,000\r"
390.-1-30 ,210 1 Family Res,0.10,"125,000","FULL MARKET VALUE 125,000\r"
390.-1-31.1 ,null,5.10,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-31.2 ,210 1 Family Res,1.21,"200,000","FULL MARKET VALUE 200,000\r"
390.-1-32 ,210 1 Family Res - WTRFNT,0.25,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-34 ,314 Rural vac<10,0.50,"15,000","FULL MARKET VALUE 15,000\r"
390.-1-35 ,null,null,"60,000","FULL MARKET VALUE 60,000\r"
390.-1-36 ,210 1 Family Res,0.33,"50,000","FULL MARKET VALUE 50,000\r"
390.-1-37 ,210 1 Family Res,0.25,"180,000","FULL MARKET VALUE 180,000\r"
390.-1-38 ,210 1 Family Res,1.00,"150,000","FULL MARKET VALUE 150,000\r"
390.-1-39 ,null,null,"135,000","FULL MARKET VALUE 135,000\r"
390.-1-41 ,210 1 Family Res,2.00,"162,000","FULL MARKET VALUE 162,000\r"
390.-1-43 ,210 1 Family Res,0.25,"95,000","FULL MARKET VALUE 95,000\r"
390.-1-44 ,null,136.70,"130,000","FULL MARKET VALUE 130,000\r"
390.-1-45 ,null,124.80,"122,000","FULL MARKET VALUE 122,000\r"
390.-1-46 ,null,67.10,"67,000","FULL MARKET VALUE 67,000\r"
390.-1-47 ,null,330.60,"330,000","FULL MARKET VALUE 330,000\r"
390.-1-48 ,null,0.76,"310,000","FULL MARKET VALUE 310,000\r"
390.-1-49 ,null,20.00,"45,000","FULL MARKET VALUE 45,000\r"
390.-1-50 ,210 1 Family Res,3.58,"103,000","FULL MARKET VALUE 103,000\r"
390.-1-51 ,314 Rural vac<10,null,"10,000","FULL MARKET VALUE 10,000\r"
390.-1-52 ,314 Rural vac<10,0.50,"1,000","FULL MARKET VALUE 1,000\r"
390.-1-53 ,null,5.75,"2,000","FULL MARKET VALUE 2,000\r"
391.-1-1.1 ,null,102.05,"235,000","FULL MARKET VALUE 235,000\r"
391.-1-1.21 ,null,12.63,"35,000","FULL MARKET VALUE 35,000\r"
391.-1-1.22 ,null,1.37,"95,000","FULL MARKET VALUE 95,000\r"
391.-1-1.3 ,314 Rural vac<10,5.22,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-2 ,210 1 Family Res,3.50,"104,000","FULL MARKET VALUE 104,000\r"
391.-1-3 ,210 1 Family Res,0.50,"220,000","FULL MARKET VALUE 220,000\r"
391.-1-6 ,210 1 Family Res - WTRFNT,1941.02,"2084,000","FULL MARKET VALUE 2084,000\r"
391.-1-7.1 ,null,7.85,"55,000","FULL MARKET VALUE 55,000\r"
391.-1-7.2 ,314 Rural vac<10,7.85,"40,000","FULL MARKET VALUE 40,000\r"
391.-1-16 ,210 1 Family Res - WTRFNT,1.00,"110,000","FULL MARKET VALUE 110,000\r"
391.-1-17 ,260 Seasonal res - WTRFNT,0.25,"200,000","FULL MARKET VALUE 200,000\r"
391.-1-18 ,210 1 Family Res - WTRFNT,0.50,"130,000","FULL MARKET VALUE 130,000\r"
391.-1-19 ,210 1 Family Res - WTRFNT,0.50,"100,000","FULL MARKET VALUE 100,000\r"
391.-1-20.2 ,260 Seasonal res - WTRFNT,null,"85,000","FULL MARKET VALUE 85,000\r"
391.-1-21 ,210 1 Family Res - WTRFNT,0.50,"70,000","FULL MARKET VALUE 70,000\r"
391.-1-22.1 ,null,49.11,"390,000","FULL MARKET VALUE 390,000\r"
391.-1-22.2 ,null,4.72,"75,000","FULL MARKET VALUE 75,000\r"
391.-1-22.3 ,314 Rural vac<10,3.70,"20,000","FULL MARKET VALUE 20,000\r"
391.-1-22.4 ,323 Vacant rural,0.82,"8,000","FULL MARKET VALUE 8,000\r"
391.-1-23 ,210 1 Family Res,2.50,"180,000","FULL MARKET VALUE 180,000\r"
391.-1-24 ,210 1 Family Res - WTRFNT,12.65,"220,000","FULL MARKET VALUE 220,000\r"
391.-1-26.1 ,314 Rural vac<10,6.70,"15,000","FULL MARKET VALUE 15,000\r"
391.-1-26.2 ,210 1 Family Res,1.50,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-27 ,210 1 Family Res - WTRFNT,0.75,"85,000","FULL MARKET VALUE 85,000\r"
391.-1-28 ,210 1 Family Res - WTRFNT,0.25,"126,500","FULL MARKET VALUE 126,500\r"
391.-1-29 ,314 Rural vac<10,null,"15,000","FULL MARKET VALUE 15,000\r"
391.-1-30 ,null,null,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-31 ,210 1 Family Res - WTRFNT,1.50,"330,000","FULL MARKET VALUE 330,000\r"
391.-1-32 ,260 Seasonal res - WTRFNT,4.60,"170,000","FULL MARKET VALUE 170,000\r"
391.-1-33 ,null,16.70,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-34 ,null,51.30,"165,000","FULL MARKET VALUE 165,000\r"
391.-1-35 ,314 Rural vac<10,0.32,"18,000","FULL MARKET VALUE 18,000\r"
391.-1-36.1 ,null,2.20,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-36.2 ,260 Seasonal res - WTRFNT,0.88,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-37 ,null,0.75,"50,000","FULL MARKET VALUE 50,000\r"
391.-1-38 ,null,0.75,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-39.1 ,210 1 Family Res - WTRFNT,6.00,"160,000","FULL MARKET VALUE 160,000\r"
391.-1-39.2 ,null,0.63,"165,000","FULL MARKET VALUE 165,000\r"
391.-1-40 ,210 1 Family Res - WTRFNT,1.25,"120,000","FULL MARKET VALUE 120,000\r"
391.-1-41 ,null,1.00,"50,000","FULL MARKET VALUE 50,000\r"
391.-1-43 ,260 Seasonal res - WTRFNT,0.75,"125,000","FULL MARKET VALUE 125,000\r"
391.-1-44 ,null,8.00,"130,000","FULL MARKET VALUE 130,000\r"
391.-1-47 ,210 1 Family Res,5.00,"160,000","FULL MARKET VALUE 160,000\r"
391.-1-48.1 ,null,3.50,"150,000","FULL MARKET VALUE 150,000\r"
391.-1-48.2 ,210 1 Family Res,3.89,"123,000","FULL MARKET VALUE 123,000 FD113 E.branch fd 12,300 TO\r"
391.-1-49.1 ,null,null,"155,000","FULL MARKET VALUE 155,000\r"
391.-1-49.2 ,210 1 Family Res,null,"87,500","FULL MARKET VALUE 87,500 FD113 E.branch fd 8,750 TO\r"
391.-1-49.3 ,210 1 Family Res,null,"20,000","FULL MARKET VALUE 20,000\r"
391.-1-51 ,null,0.50,"100,000","FULL MARKET VALUE 100,000\r"
391.-1-52 ,210 1 Family Res,0.25,"90,000","FULL MARKET VALUE 90,000\r"
391.-1-53 ,260 Seasonal res,0.82,"170,000","FULL MARKET VALUE 170,000\r"
391.-1-54 ,210 1 Family Res,null,"83,000","FULL MARKET VALUE 83,000\r"
391.-1-55.1 ,210 1 Family Res,1.55,"70,000","FULL MARKET VALUE 70,000\r"
391.-1-55.2 ,210 1 Family Res,1.00,"60,000","FULL MARKET VALUE 60,000\r"
391.-1-56 ,210 1 Family Res - WTRFNT,2.90,"168,000","FULL MARKET VALUE 168,000\r"
391.-1-57 ,210 1 Family Res,1.10,"80,000","FULL MARKET VALUE 80,000\r"
391.-1-58 ,null,1.30,"115,000","FULL MARKET VALUE 115,000\r"
391.-1-59 ,210 1 Family Res,1.26,"218,000","FULL MARKET VALUE 218,000\r"
391.-1-60 ,210 1 Family Res,0.75,"200,000","FULL MARKET VALUE 200,000\r"
391.-1-61 ,210 1 Family Res,1.41,"85,000","FULL MARKET VALUE 85,000\r"
391.-1-62 ,210 1 Family Res,0.50,"100,000","FULL MARKET VALUE 100,000\r"
391.-1-63 ,null,2.23,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-64 ,210 1 Family Res,0.25,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-65.1 ,314 Rural vac<10,6.00,"38,500","FULL MARKET VALUE 38,500\r"
391.-1-66.1 ,null,66.30,"100,000","FULL MARKET VALUE 100,000\r"
391.-1-67 ,null,3.00,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-69 ,null,14.28,"124,000","FULL MARKET VALUE 124,000\r"
391.-1-70 ,null,37.00,"130,000","FULL MARKET VALUE 130,000\r"
391.-1-72 ,314 Rural vac<10,9.70,"36,000","FULL MARKET VALUE 36,000\r"
391.-1-75 ,210 1 Family Res,0.47,"75,000","FULL MARKET VALUE 75,000\r"
391.-1-76 ,null,0.72,"30,000","FULL MARKET VALUE 30,000\r"
391.-1-77 ,210 1 Family Res,1.00,"110,000","FULL MARKET VALUE 110,000\r"
402.-2-1 ,null,39.13,"50,000","FULL MARKET VALUE 50,000\r"
402.-2-2 ,null,72.70,"180,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 180,000\r"
402.-2-3 ,null,45.34,"324,000","FULL MARKET VALUE 324,000\r"
402.-2-4 ,null,167.36,"210,000","FULL MARKET VALUE 210,000\r"
402.-2-5 ,null,54.00,"290,000","FULL MARKET VALUE 290,000\r"
402.-2-7 ,null,106.00,"350,000","FULL MARKET VALUE 350,000\r"
402.-2-8 ,314 Rural vac<10,3.30,"30,000","FULL MARKET VALUE 30,000\r"
402.-2-9.2 ,null,110.00,"120,000","FULL MARKET VALUE 120,000\r"
402.-2-10 ,null,217.54,"285,000","FULL MARKET VALUE 285,000\r"
402.-2-11 ,null,95.00,"120,000","FULL MARKET VALUE 120,000\r"
402.-2-13.111 ,210 1 Family Res,8.63,"160,000","FULL MARKET VALUE 160,000\r"
402.-2-13.112 ,210 1 Family Res,2.00,"35,000","FULL MARKET VALUE 35,000\r"
402.-2-13.12 ,314 Rural vac<10,5.17,"20,000","FULL MARKET VALUE 20,000\r"
402.-2-13.2 ,314 Rural vac<10,null,"10,000","FULL MARKET VALUE 10,000\r"
402.-2-13.3 ,260 Seasonal res,4.60,"120,000","FULL MARKET VALUE 120,000\r"
402.-2-14.1 ,null,39.00,"250,000","FULL MARKET VALUE 250,000\r"
402.-2-14.2 ,210 1 Family Res,1.00,"160,000","FULL MARKET VALUE 160,000\r"
402.-2-15 ,null,2.20,"60,000","FULL MARKET VALUE 60,000\r"
402.-4-1 ,314 Rural vac<10,4.46,"58,000","FULL MARKET VALUE 58,000\r"
402.-4-2 ,260 Seasonal res,5.01,"50,000","FULL MARKET VALUE 50,000\r"
402.-4-3 ,314 Rural vac<10,5.01,"60,000","FULL MARKET VALUE 60,000\r"
402.-4-4 ,314 Rural vac<10,5.01,"40,000","FULL MARKET VALUE 40,000\r"
402.-4-5 ,314 Rural vac<10,5.01,"22,000","FULL MARKET VALUE 22,000\r"
402.-4-6 ,314 Rural vac<10,5.01,"22,000","FULL MARKET VALUE 22,000\r"
402.-4-7 ,314 Rural vac<10,5.01,"50,000","FULL MARKET VALUE 50,000\r"
402.-4-8 ,null,35.06,"60,000","FULL MARKET VALUE 60,000\r"
402.-4-10 ,314 Rural vac<10,5.01,"40,000","FULL MARKET VALUE 40,000\r"
402.-4-11 ,314 Rural vac<10,5.01,"55,000","FULL MARKET VALUE 55,000\r"
403.-1-2 ,null,384.16,"587,500","FULL MARKET VALUE 587,500\r"
403.-1-3 ,210 1 Family Res,0.50,"100,000","FULL MARKET VALUE 100,000\r"
403.-1-4 ,314 Rural vac<10,0.66,"20,000","FULL MARKET VALUE 20,000\r"
403.-1-5.1 ,210 1 Family Res,1.10,"150,000","FULL MARKET VALUE 150,000\r"
403.-1-5.2 ,210 1 Family Res,0.50,"120,000","FULL MARKET VALUE 120,000\r"
403.-1-6 ,null,11.00,"25,000","FULL MARKET VALUE 25,000\r"
403.-1-7 ,210 1 Family Res,0.50,"265,000","FULL MARKET VALUE 265,000\r"
403.-1-8.1 ,null,23.70,"140,000","FULL MARKET VALUE 140,000\r"
403.-1-9 ,null,149.24,"240,000","FULL MARKET VALUE 240,000\r"
403.-1-10 ,210 1 Family Res,null,"150,000","FULL MARKET VALUE 150,000\r"
403.-1-12.1 ,210 1 Family Res,3.30,"50,000","FULL MARKET VALUE 50,000\r"
403.-1-12.2 ,null,24.20,"50,000","FULL MARKET VALUE 50,000\r"
403.-1-13 ,null,2.30,"217,940","FULL MARKET VALUE 217,940\r"
403.-1-14 ,323 Vacant rural,0.33,"12,000","FULL MARKET VALUE 12,000\r"
403.-1-16 ,null,23.00,"250,000","FULL MARKET VALUE 250,000\r"
403.-1-17 ,210 1 Family Res,2.00,"99,920","FULL MARKET VALUE 99,920\r"
403.-1-18 ,null,10.50,"250,000","FULL MARKET VALUE 250,000\r"
403.-1-20.1 ,null,728.20,"650,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 650,000\r"
403.-1-23 ,323 Vacant rural,99.50,"150,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 150,000\r"
403.-1-24 ,210 1 Family Res,1.00,"130,000","FULL MARKET VALUE 130,000\r"
403.-1-25.112 ,210 1 Family Res,1.04,"195,000","FULL MARKET VALUE 195,000\r"
403.-1-25.114 ,314 Rural vac<10,1.95,"25,000","FULL MARKET VALUE 25,000\r"
403.-1-25.116 ,314 Rural vac<10,1.34,"15,000","DEED BOOK 1505 PG-142 FULL MARKET VALUE 15,000\r"
403.-1-25.117 ,314 Rural vac<10,4.34,"5,000","FULL MARKET VALUE 5,000\r"
403.-1-25.12 ,210 1 Family Res,1.56,"185,000","FULL MARKET VALUE 185,000\r"
403.-1-25.13 ,210 1 Family Res,1.56,"123,300","FULL MARKET VALUE 123,300\r"
403.-1-25.14 ,210 1 Family Res,1.81,"155,000","FULL MARKET VALUE 155,000\r"
403.-1-25.15 ,314 Rural vac<10,5.82,"30,000","FULL MARKET VALUE 30,000\r"
403.-1-25.2 ,210 1 Family Res,4.26,"165,000","FULL MARKET VALUE 165,000\r"
403.-1-25.3 ,210 1 Family Res,0.63,"163,000","FULL MARKET VALUE 163,000\r"
403.-1-26 ,210 1 Family Res,0.75,"130,000","FULL MARKET VALUE 130,000 FD112 Hancock Rural FD 13,000 TO\r"
403.-1-31 ,210 1 Family Res,157.80,"290,000","FULL MARKET VALUE 290,000\r"
403.-1-32 ,null,2.07,"140,000","FULL MARKET VALUE 140,000\r"
403.-1-33 ,314 Rural vac<10,1.16,"15,000","FULL MARKET VALUE 15,000\r"
403.-2-1 ,210 1 Family Res,42.32,"262,000","FULL MARKET VALUE 262,000\r"
403.-2-2 ,null,15.00,"50,000","FULL MARKET VALUE 50,000\r"
403.-2-4 ,260 Seasonal res,17.30,"100,000","FULL MARKET VALUE 100,000\r"
403.-2-5 ,210 1 Family Res,10.00,"180,000","FULL MARKET VALUE 180,000\r"
403.-2-6 ,210 1 Family Res,5.01,"140,000","FULL MARKET VALUE 140,000\r"
403.-2-7 ,210 1 Family Res,14.42,"370,000","FULL MARKET VALUE 370,000\r"
403.-2-8 ,null,48.94,"60,000","FULL MARKET VALUE 60,000\r"
403.-2-9 ,314 Rural vac<10,3.60,"20,000","FULL MARKET VALUE 20,000\r"
403.-3-3 ,null,66.83,"200,000","FULL MARKET VALUE 200,000\r"
404.-1-1 ,null,136.40,"250,000","FULL MARKET VALUE 250,000 FD112 Hancock Rural FD 25,000 TO\r"
404.-1-2 ,null,120.90,"100,000","FULL MARKET VALUE 100,000\r"
404.-1-3 ,260 Seasonal res,11.25,"80,000","FULL MARKET VALUE 80,000\r"
404.-1-4.1 ,null,232.17,"290,000","FULL MARKET VALUE 290,000\r"
404.-1-4.21 ,210 1 Family Res,122.04,"280,000","FULL MARKET VALUE 280,000\r"
404.-1-4.22 ,null,122.13,"514,000","FULL MARKET VALUE 514,000\r"
404.-1-5 ,null,758.20,"700,000","FULL MARKET VALUE 700,000\r"
404.-1-6 ,260 Seasonal res,114.50,"335,000","FULL MARKET VALUE 335,000\r"
404.-1-7 ,null,256.60,"200,000","FULL MARKET VALUE 200,000\r"
404.-2-2 ,null,17.01,"129,000","FULL MARKET VALUE 129,000\r"
404.-2-3 ,null,16.70,"125,000","FULL MARKET VALUE 125,000\r"
404.-2-4 ,null,22.66,"195,000","FULL MARKET VALUE 195,000\r"
404.-2-5 ,null,23.30,"142,000","FULL MARKET VALUE 142,000\r"
404.-2-6 ,260 Seasonal res,6.67,"55,000","FULL MARKET VALUE 55,000\r"
404.-2-7 ,210 1 Family Res,5.24,"175,000","FULL MARKET VALUE 175,000\r"
404.-2-8 ,null,5.60,"60,000","FULL MARKET VALUE 60,000\r"
404.-2-9 ,null,7.11,"50,000","FULL MARKET VALUE 50,000\r"
404.-2-10 ,260 Seasonal res,9.67,"70,000","FULL MARKET VALUE 70,000\r"
404.-2-11 ,210 1 Family Res,7.23,"240,000","FULL MARKET VALUE 240,000\r"
404.-2-12 ,null,13.16,"126,000","FULL MARKET VALUE 126,000\r"
404.-2-13 ,null,20.84,"104,000","FULL MARKET VALUE 104,000\r"
404.-2-14 ,null,22.50,"100,000","FULL MARKET VALUE 100,000\r"
404.-2-15 ,null,23.84,"68,000","FULL MARKET VALUE 68,000\r"
404.-2-16 ,null,21.08,"82,000","FULL MARKET VALUE 82,000\r"
404.-2-17 ,null,20.20,"80,000","FULL MARKET VALUE 80,000\r"
404.-2-18 ,null,19.04,"178,000","FULL MARKET VALUE 178,000\r"
405.-1-1 ,null,240.80,"200,000","FULL MARKET VALUE 200,000\r"
405.-1-2 ,null,63.00,"88,000","FULL MARKET VALUE 88,000\r"
405.-1-3 ,314 Rural vac<10,null,"15,000","FULL MARKET VALUE 15,000\r"
405.-1-5.11 ,210 1 Family Res,4.63,"135,000","FULL MARKET VALUE 135,000\r"
405.-1-5.12 ,null,40.61,"590,000","FULL MARKET VALUE 590,000\r"
405.-1-5.2 ,null,null,"5,000","Walton, NY 13856 FULL MARKET VALUE 5,000 FD113 E.branch fd 500 TO\r"
405.-1-5.3 ,null,10.40,"250,000","FULL MARKET VALUE 250,000\r"
405.-1-5.4 ,null,15.00,"55,000","FULL MARKET VALUE 55,000\r"
405.-1-5.5 ,260 Seasonal res,10.00,"100,000","FULL MARKET VALUE 100,000\r"
405.-1-5.6 ,null,10.22,"65,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 65,000\r"
405.-1-6 ,210 1 Family Res,9.59,"160,000","FULL MARKET VALUE 160,000\r"
405.-1-7 ,210 1 Family Res,2.71,"170,000","FULL MARKET VALUE 170,000\r"
405.-1-8 ,260 Seasonal res,8.50,"250,000","FULL MARKET VALUE 250,000\r"
405.-1-9 ,null,101.40,"110,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 110,000\r"
405.-1-10 ,null,160.10,"180,000","UNDER RPTL480A UNTIL 2032 FULL MARKET VALUE 180,000\r"
405.-1-11 ,null,83.54,"150,000","FULL MARKET VALUE 150,000\r"
405.-1-12 ,null,55.00,"110,000","FULL MARKET VALUE 110,000\r"
405.-1-13.1 ,null,93.10,"120,000","FULL MARKET VALUE 120,000\r"
405.-1-13.2 ,null,2.00,"105,000","FULL MARKET VALUE 105,000\r"
405.-1-13.3 ,null,18.69,"220,000","FULL MARKET VALUE 220,000\r"
405.-1-13.4 ,314 Rural vac<10,5.10,"26,000","FULL MARKET VALUE 26,000\r"
405.-1-13.5 ,210 1 Family Res,6.75,"130,000","FULL MARKET VALUE 130,000\r"
405.-1-13.6 ,314 Rural vac<10,5.10,"20,000","FULL MARKET VALUE 20,000\r"
405.-1-13.7 ,210 1 Family Res,5.01,"140,000","FULL MARKET VALUE 140,000\r"
405.-1-13.8 ,314 Rural vac<10,5.60,"30,000","FULL MARKET VALUE 30,000\r"
405.-1-14 ,210 1 Family Res,1.60,"135,000","FULL MARKET VALUE 135,000\r"
405.-1-15 ,null,30.80,"135,000","FULL MARKET VALUE 135,000\r"
405.-1-16 ,null,0.75,"60,000","FULL MARKET VALUE 60,000\r"
405.-1-17.1 ,null,108.30,"100,000","FULL MARKET VALUE 100,000\r"
405.-1-17.2 ,null,3.30,"200,000","FULL MARKET VALUE 200,000\r"
405.-1-17.311 ,null,60.60,"100,000","FULL MARKET VALUE 100,000\r"
405.-1-17.312 ,null,24.00,"60,000","FULL MARKET VALUE 60,000\r"
405.-1-17.313 ,314 Rural vac<10,1.20,"20,000","FULL MARKET VALUE 20,000\r"
405.-1-17.32 ,210 1 Family Res,1.24,"140,000","FULL MARKET VALUE 140,000\r"
405.-1-17.4 ,210 1 Family Res,1.07,"170,000","FULL MARKET VALUE 170,000\r"
405.-1-17.512 ,210 1 Family Res,0.50,"205,000","FULL MARKET VALUE 205,000 FD113 E.branch fd 20,500 TO\r"
405.-1-17.52 ,314 Rural vac<10,1.11,"15,000","FULL MARKET VALUE 15,000\r"
405.-1-17.53 ,314 Rural vac<10,null,"10,000","FULL MARKET VALUE 10,000\r"
405.-1-19 ,null,228.20,"220,000","FULL MARKET VALUE 220,000\r"
405.-1-20 ,null,49.50,"55,000","FULL MARKET VALUE 55,000\r"
405.-1-22 ,210 1 Family Res,3.87,"200,000","FULL MARKET VALUE 200,000\r"
405.-1-23 ,null,2.68,"155,000","FULL MARKET VALUE 155,000\r"
406.-1-1 ,null,160.00,"160,000","FULL MARKET VALUE 160,000\r"
406.-1-2 ,null,219.20,"230,000","FULL MARKET VALUE 230,000\r"
406.-1-3 ,210 1 Family Res,0.50,"75,000","FULL MARKET VALUE 75,000\r"
406.-1-4 ,314 Rural vac<10,0.47,"30,000","FULL MARKET VALUE 30,000\r"
406.-1-5 ,210 1 Family Res,null,"100,000","FULL MARKET VALUE 100,000\r"
406.-1-7 ,210 1 Family Res,null,"200,000","FULL MARKET VALUE 200,000\r"
406.-1-8 ,260 Seasonal res,1.00,"144,000","FULL MARKET VALUE 144,000\r"
406.-1-10 ,314 Rural vac<10,0.50,"12,000","FULL MARKET VALUE 12,000\r"
406.-1-11 ,210 1 Family Res,5.50,"360,000","FULL MARKET VALUE 360,000\r"
406.-1-12 ,210 1 Family Res - WTRFNT,null,"60,000","FULL MARKET VALUE 60,000\r"
406.-1-13.1 ,null,318.40,"630,000","FULL MARKET VALUE 630,000\r"
406.-1-13.2 ,210 1 Family Res,2.20,"165,000","FULL MARKET VALUE 165,000\r"
406.-1-14 ,null,10.30,"45,000","FULL MARKET VALUE 45,000\r"
406.-1-15.1 ,null,93.00,"100,000","FULL MARKET VALUE 100,000\r"
406.-1-15.2 ,210 1 Family Res - WTRFNT,5.00,"210,000","FULL MARKET VALUE 210,000\r"
406.-1-17 ,210 1 Family Res,7.25,"260,000","FULL MARKET VALUE 260,000\r"
406.-1-22.1 ,210 1 Family Res,46.87,"235,000","FULL MARKET VALUE 235,000\r"
406.-1-22.21 ,210 1 Family Res - WTRFNT,5.60,"400,000","FULL MARKET VALUE 400,000\r"
406.-1-22.22 ,314 Rural vac<10,5.20,"36,000","FULL MARKET VALUE 36,000\r"
406.-1-22.23 ,314 Rural vac<10,5.40,"37,000","FULL MARKET VALUE 37,000\r"
406.-1-22.24 ,314 Rural vac<10,5.40,"37,000","FULL MARKET VALUE 37,000\r"
406.-1-22.25 ,210 1 Family Res - WTRFNT,5.20,"470,000","FULL MARKET VALUE 470,000\r"
406.-1-22.26 ,210 1 Family Res - WTRFNT,9.00,"305,000","FULL MARKET VALUE 305,000\r"
406.-1-22.27 ,210 1 Family Res - WTRFNT,4.30,"435,000","FULL MARKET VALUE 435,000\r"
406.-1-22.28 ,null,13.20,"55,000","FULL MARKET VALUE 55,000\r"
406.-1-22.3 ,null,1.00,"15,000","FULL MARKET VALUE 15,000\r"
406.-1-22.4 ,null,11.57,"50,000","FULL MARKET VALUE 50,000\r"
406.-1-22.5 ,null,15.01,"50,000","FULL MARKET VALUE 50,000\r"
406.-1-22.61 ,null,13.66,"80,000","FULL MARKET VALUE 80,000\r"
406.-1-22.62 ,210 1 Family Res,3.11,"180,000","FULL MARKET VALUE 180,000\r"
406.-1-22.7 ,210 1 Family Res,8.83,"85,000","FULL MARKET VALUE 85,000\r"
406.-1-23 ,314 Rural vac<10,1.10,"20,000","FULL MARKET VALUE 20,000\r"
406.-1-24 ,314 Rural vac<10,1.10,"20,000","FULL MARKET VALUE 20,000\r"
406.-1-25 ,null,0.55,"35,000","FULL MARKET VALUE 35,000\r"
406.-1-26 ,210 1 Family Res,0.50,"48,000","FULL MARKET VALUE 48,000\r"
